Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (QAlity Test),Inward issue link (QAlity Test),Outward issue link (QAlity Test),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (URL),Custom field (URL),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
"Walidacja pola ""Description"" test case",KAP-36,10036,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 6:53 PM,27/Feb/23 6:53 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-15,,,,,,,,,,,{},,,,,,,,0|i0007z:,,,,,,,,,,,,,,To Do
Data w formularzu dodawania transakcji- wybór późniejszej daty (SAD PATH),KAP-35,10035,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 6:46 PM,27/Feb/23 6:52 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-14,,,,,,,,,,,{},,,,,,,,0|i0007r:,,,,,,,,,,,,,,To Do
Data w formularzu dodawania transakcji  test case,KAP-34,10034,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 6:41 PM,27/Feb/23 6:41 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-14,,,,,,,,,,,{},,,,,,,,0|i0007j:,,,,,,,,,,,,,,To Do
"Dodawanie wartości w polu ""Saldo"" za pomocą INPUT  test case",KAP-33,10033,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 6:28 PM,27/Feb/23 6:28 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-13,,,,,,,,,,,{},,,,,,,,0|i0007b:,,,,,,,,,,,,,,To Do
Poprawny komunikat powitalny - Test Case,KAP-32,10032,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 6:11 PM,27/Feb/23 6:16 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-12,,,,,,,,,,,{},,,,,,,,0|i00073:,,,,,,,,,,,,,,To Do
Rejestracja użytkownika istniejącego w bazie  test case,KAP-31,10031,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:43 PM,27/Feb/23 2:43 PM,27/Feb/23 6:21 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-28,,,,,,,,,,,{},,,,,,,,0|i0006v:,,,,,,,,,,,,,,To Do
"Walidacja buttonu ""REJESTRACJA"" SAD PATH",KAP-30,10030,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:39 PM,27/Feb/23 2:42 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0006n:,,,,,,,,,,,,,,To Do
"Walidacja buttonu ""REJESTRACJA"" HAPPY PATH",KAP-29,10029,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:31 PM,27/Feb/23 2:33 PM,27/Feb/23 4:28 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-25,,,,,,,,,,,{},,,,,,,,0|i0006f:,,,,,,,,,,,,,,To Do
Rejestracja użytkownika istniejącego w bazie ,KAP-28,10028,Subtask,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:30 PM,27/Feb/23 2:43 PM,27/Feb/23 2:43 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,KAP-31,,,,,,,,,,,,,{},,,,,,,,0|i00067:,,,,,,,,,,,,10005,Rejestracja użytkownika ,To Do
Logowanie niezarejestrowanego użytkownika,KAP-27,10027,Subtask,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:29 PM,27/Feb/23 2:30 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0005z:,,,,,,,,,,,,10006,Logowanie użytkownika,To Do
Logowanie zarejestrowanego użytkownika,KAP-26,10026,Subtask,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:29 PM,27/Feb/23 2:29 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0005r:,,,,,,,,,,,,10006,Logowanie użytkownika,To Do
"Walidacja buttonu ""REJESTRACJA""",KAP-25,10025,Subtask,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:03 PM,27/Feb/23 2:42 PM,27/Feb/23 4:28 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,KAP-29,,,,,,,,,,,,,{},,,,,,,,0|i0005j:,,,,,,,,,,,,10005,Rejestracja użytkownika ,To Do
Walidacja pola e-mail - nieprawidłowe dane,KAP-24,10024,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 12:00 PM,27/Feb/23 4:34 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-7,,,,,,,,,,,{},,,,,,,,0|i0005b:,,,,,,,,,,,,,,To Do
Walidacja pola e-mail - spełnione wymagania,KAP-23,10023,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 10:48 AM,27/Feb/23 12:00 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-7,,,,,,,,,,,{},,,,,,,,0|i00053:,,,,,,,,,,,,,,To Do
Autoryzacja Google test case,KAP-22,10022,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 10:35 AM,27/Feb/23 10:35 AM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0004v:,,,,,,,,,,,,,,To Do
Autoryzacja Google test case,KAP-21,10021,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:55 AM,27/Feb/23 9:55 AM,27/Feb/23 10:58 AM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-20,,,,,,,,,,,{},,,,,,,,0|i0004n:,,,,,,,,,,,,,,To Do
Autoryzacja Google,KAP-20,10020,Subtask,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:54 AM,27/Feb/23 10:35 AM,27/Feb/23 7:13 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,KAP-21,,,,,,,,,,,,,{},,,,,,,,0|i0004f:,,,,,,,,,,,,10005,Rejestracja użytkownika ,To Do
Widok strony ,KAP-19,10019,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:46 AM,27/Feb/23 9:46 AM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i00047:,,,,,,,,,,,,10011,Strona raportów - użytkownik zalogowany,To Do
Raporty,KAP-18,10018,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:45 AM,27/Feb/23 9:45 AM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0003z:,,,,,,,,,,,,10010,Strona Główna - użytkownik zalogowany,To Do
Expenses i Income - możliwość przełączania,KAP-17,10017,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:45 AM,27/Feb/23 9:45 AM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0003r:,,,,,,,,,,,,10010,Strona Główna - użytkownik zalogowany,To Do
"Dodawanie,Usuwanie oraz edytowanie transakcji ",KAP-16,10016,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:44 AM,27/Feb/23 9:44 AM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0003j:,,,,,,,,,,,,10010,Strona Główna - użytkownik zalogowany,To Do
"Walidacja pola ""Description""",KAP-15,10015,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:43 AM,27/Feb/23 6:53 PM,27/Feb/23 6:52 PM,,,0,"# Użytkownik może wprowadzić opis transakcji w polu 

*Description*:
Wymagane wartośći:

* mogą to być litery, spacje,
* minimum 3 znaki,
* maksimum: 20 znaków.",,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,KAP-36,,,,,,,,,,,,,{},,,,,,,,0|i0003b:,,,,,,,,,,,,10010,Strona Główna - użytkownik zalogowany,To Do
Data w formularzu dodawania transakcji ,KAP-14,10014,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:42 AM,27/Feb/23 6:46 PM,27/Feb/23 6:45 PM,,,0,"Po wejściu na stronę główną użytkownik widzi aktualną datę w formularzu dodawania transakcji.



Preconditions: 

# Użytkownik zalogowany 
# Znajduję się na stronie głównej platformy 

W załączniku znajduję się screenshot z specyfikacji pokazujący poprawne umiejscowienie daty ",,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,KAP-34,KAP-35,,,,,27/Feb/23 6:42 PM;638b1acd77acd224b342086a;obraz_2023-02-27_184247955.png;https://projektyaleksandrakrzysztof.atlassian.net/secure/attachment/10001/obraz_2023-02-27_184247955.png,,,,,,,{},,,,,,,,0|i00033:,,,,,,,,,,,,10010,Strona Główna - użytkownik zalogowany,To Do
"Dodawanie wartości w polu ""Saldo"" za pomocą INPUT ",KAP-13,10013,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:42 AM,27/Feb/23 6:40 PM,27/Feb/23 6:26 PM,,,0,"Jeśli saldo wynosi zero, użytkownik może wpisać wartość w polu saldo i kliknąć *Input*. 
Po wykonaniu tej operacji, wiadomość z kroku 1 powinna zostać ukryta.



PRECONDITIONS : 

# Użytkownik zalogowany 
#  Jest to pierwsze logowanie użytkownika 
# Jesteśmy na stronie głównej platformy ",,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,KAP-33,,,,,,,,,,,,,{},,,,,,,,0|i0002v:,,,,,,,,,,,,10010,Strona Główna - użytkownik zalogowany,To Do
Poprawny komunikat powitalny podczas pierwszego wejścia do aplikacji ,KAP-12,10012,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:41 AM,27/Feb/23 6:16 PM,27/Feb/23 6:26 PM,,,0,"W załączniku poprawny schemat wyświetlonego komunikatu powitalnego 





PRECONDITIONS: 

# Użytkownik niezalogowany ",,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,KAP-32,,,,,,27/Feb/23 6:10 PM;638b1acd77acd224b342086a;obraz_2023-02-27_181018021.png;https://projektyaleksandrakrzysztof.atlassian.net/secure/attachment/10000/obraz_2023-02-27_181018021.png,,,,,,,{},,,,,,,,0|i0002n:,,,,,,,,,,,,10010,Strona Główna - użytkownik zalogowany,To Do
Strona raportów - użytkownik zalogowany,KAP-11,10011,Epic,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:38 AM,27/Feb/23 3:24 PM,27/Feb/23 9:45 AM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,purple,,,0|i0002f:,,,,,,,,,,,,,,To Do
Strona Główna - użytkownik zalogowany,KAP-10,10010,Epic,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:37 AM,27/Feb/23 9:37 AM,27/Feb/23 6:24 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,purple,,,0|i00027:,,,,,,,,,,,,,,To Do
Nagłówek - użytkownik zalogowany,KAP-9,10009,Epic,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:37 AM,27/Feb/23 9:37 AM,27/Feb/23 9:47 AM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,purple,,,0|i0001z:,,,,,,,,,,,,,,To Do
walidacja pola hasła w formularzu ,KAP-8,10008,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:34 AM,27/Feb/23 12:22 PM,27/Feb/23 4:35 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,KAP-5,,,,,,,,{},,,,,,,,0|i0001r:,,,,,,,,,,,,10004,Formularz rejestracji logowania - użytkownik niezalogowany ,To Do
Walidacja pola e-mail w formularzu ,KAP-7,10007,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:34 AM,27/Feb/23 12:22 PM,27/Feb/23 6:08 PM,,,0,"# Walidacja adresu email użytkownika na formularzu rejestracji/logowania:

* może zawierać łacinę, liczby, symbole 
* musi koniecznie zawierać znak """"@"" / ""kropka""
* minimalna liczba znaków w polu - 10 (włącznie), maksymalna liczba znaków w polu - 63 (włącznie)
* przed symbolem ""@"" muszą znajdować się co najmniej 2 znaki
* pole może zawierać myślniki, przy czym myślnik nie może być na początku ani na końcu adresu e-mail
* część maila z nazwą użytkownika może zawierać litery łacińskie, cyfry, kropkę, myślnik, podkreślenie",,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,KAP-23,KAP-24,,,,KAP-5,,,,,,,,{},,,,,,,,0|i0001j:,,,,,,,,,,,,10004,Formularz rejestracji logowania - użytkownik niezalogowany ,To Do
Logowanie użytkownika,KAP-6,10006,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:33 AM,27/Feb/23 9:35 AM,27/Feb/23 4:34 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0001b:,,,,,,,,,,,,10004,Formularz rejestracji logowania - użytkownik niezalogowany ,To Do
Rejestracja użytkownika ,KAP-5,10005,Task,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:32 AM,27/Feb/23 12:22 PM,27/Feb/23 7:12 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,KAP-8,KAP-7,,,,,,,,,{},,,,,,,,0|i00013:,,,,,,,,,,,,10004,Formularz rejestracji logowania - użytkownik niezalogowany ,To Do
Formularz rejestracji logowania - użytkownik niezalogowany ,KAP-4,10004,Epic,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 9:29 AM,27/Feb/23 4:36 PM,27/Feb/23 4:35 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0000v:,,,,,,,,,,,,,,To Do
Logowanie się użytkownika ,GBP-1,10000,TEST CASE,To Do,GBP,Guru99 Banking Project,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,22/Feb/23 5:57 PM,22/Feb/23 5:57 PM,22/Feb/23 5:58 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|hzzzzz:,,,,,,,,,,,,,,To Do
